127.0.0.1 - - [11/Jul/2024:12:42:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jul/2024:12:42:03 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:08:39 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:11:12 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:14:06 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:14:33 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 500 2756
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:14:42 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 500 2756
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:14:57 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 500 2756
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:14:59 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:15:11 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:16:27 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:16:43 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:19:45 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:24:37 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 519
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:25:08 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:26:15 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:41:55 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:41:58 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:41:59 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:42:11 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:45:56 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:49:00 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [11/Jul/2024:13:59:29 +0530] "GET /o1-jsp-app/hello.jsp HTTP/1.1" 200 631
